,year,p-amount,area,enter,exit,variable,date
300,1979,123,kyusyu-n,1979-06-06,1979-07-25,g-enter,1900-06-06
301,1980,142,kyusyu-n,1980-06-08,1980-07-19,g-enter,1900-06-08
302,1981,91,kyusyu-n,1981-06-10,1981-07-14,g-enter,1900-06-10
303,1982,121,kyusyu-n,1982-06-13,1982-07-27,g-enter,1900-06-13
304,1983,92,kyusyu-n,1983-06-12,1983-07-23,g-enter,1900-06-12
305,1984,73,kyusyu-n,1984-06-07,1984-07-14,g-enter,1900-06-07
306,1985,144,kyusyu-n,1985-06-07,1985-07-15,g-enter,1900-06-07
307,1986,119,kyusyu-n,1986-06-13,1986-07-26,g-enter,1900-06-13
308,1987,125,kyusyu-n,1987-06-08,1987-07-26,g-enter,1900-06-08
309,1988,92,kyusyu-n,1988-06-07,1988-07-06,g-enter,1900-06-07
310,1989,73,kyusyu-n,1989-06-05,1989-07-19,g-enter,1900-06-05
311,1990,94,kyusyu-n,1990-05-30,1990-07-18,g-enter,1900-05-30
312,1991,135,kyusyu-n,1991-05-19,1991-07-19,g-enter,1900-05-19
313,1992,56,kyusyu-n,1992-06-05,1992-07-20,g-enter,1900-06-05
314,1993,158,kyusyu-n,1993-05-29,,g-enter,1900-05-29
315,1994,44,kyusyu-n,1994-06-07,1994-07-01,g-enter,1900-06-07
316,1995,108,kyusyu-n,1995-06-08,1995-07-08,g-enter,1900-06-08
317,1996,95,kyusyu-n,1996-06-07,1996-07-13,g-enter,1900-06-07
318,1997,128,kyusyu-n,1997-06-08,1997-07-19,g-enter,1900-06-08
319,1998,103,kyusyu-n,1998-06-01,1998-08-03,g-enter,1900-06-01
320,1999,126,kyusyu-n,1999-06-02,1999-07-22,g-enter,1900-06-02
321,2000,73,kyusyu-n,2000-05-26,2000-07-17,g-enter,1900-05-26
322,2001,110,kyusyu-n,2001-05-21,2001-07-19,g-enter,1900-05-21
323,2002,57,kyusyu-n,2002-06-10,2002-07-21,g-enter,1900-06-10
324,2003,120,kyusyu-n,2003-06-09,2003-07-31,g-enter,1900-06-09
325,2004,47,kyusyu-n,2004-05-29,2004-07-11,g-enter,1900-05-29
326,2005,70,kyusyu-n,2005-06-10,2005-07-17,g-enter,1900-06-10
327,2006,141,kyusyu-n,2006-06-08,2006-07-26,g-enter,1900-06-08
328,2007,87,kyusyu-n,2007-06-13,2007-07-23,g-enter,1900-06-13
329,2008,84,kyusyu-n,2008-05-28,2008-07-06,g-enter,1900-05-28
330,2009,121,kyusyu-n,2009-06-03,2009-08-04,g-enter,1900-06-03
331,2010,111,kyusyu-n,2010-06-12,2010-07-17,g-enter,1900-06-12
332,2011,119,kyusyu-n,2011-05-21,2011-07-08,g-enter,1900-05-21
333,2012,138,kyusyu-n,2012-05-30,2012-07-23,g-enter,1900-05-30
334,2013,72,kyusyu-n,2013-05-27,2013-07-08,g-enter,1900-05-27
335,2014,87,kyusyu-n,2014-06-02,2014-07-20,g-enter,1900-06-02
336,2015,102,kyusyu-n,2015-06-02,2015-07-29,g-enter,1900-06-02
337,2016,117,kyusyu-n,2016-06-04,2016-07-18,g-enter,1900-06-04
338,2017,67,kyusyu-n,2017-06-20,2017-07-13,g-enter,1900-06-20
339,2018,110,kyusyu-n,2018-06-05,2018-07-09,g-enter,1900-06-05
340,1951,132,kyusyu-s,1951-05-26,1951-07-21,g-enter,1900-05-26
341,1952,132,kyusyu-s,1952-06-14,1952-07-16,g-enter,1900-06-14
342,1953,118,kyusyu-s,1953-05-22,1953-07-22,g-enter,1900-05-22
343,1954,178,kyusyu-s,1954-05-13,1954-08-01,g-enter,1900-05-13
344,1955,130,kyusyu-s,1955-05-28,1955-06-24,g-enter,1900-05-28
345,1956,86,kyusyu-s,1956-05-01,1956-07-13,g-enter,1900-05-01
346,1957,92,kyusyu-s,1957-06-21,1957-08-08,g-enter,1900-06-21
347,1958,40,kyusyu-s,1958-06-06,1958-07-09,g-enter,1900-06-06
348,1959,102,kyusyu-s,1959-06-04,1959-07-21,g-enter,1900-06-04
349,1960,59,kyusyu-s,1960-05-24,1960-07-10,g-enter,1900-05-24
350,1961,67,kyusyu-s,1961-06-02,1961-07-10,g-enter,1900-06-02
351,1962,119,kyusyu-s,1962-06-02,1962-07-20,g-enter,1900-06-02
352,1963,58,kyusyu-s,1963-05-28,1963-07-12,g-enter,1900-05-28
353,1964,84,kyusyu-s,1964-06-10,1964-07-01,g-enter,1900-06-10
354,1965,79,kyusyu-s,1965-06-09,1965-07-07,g-enter,1900-06-09
355,1966,87,kyusyu-s,1966-05-31,1966-07-14,g-enter,1900-05-31
356,1967,76,kyusyu-s,1967-06-18,1967-07-14,g-enter,1900-06-18
357,1968,129,kyusyu-s,1968-06-12,1968-07-16,g-enter,1900-06-12
358,1969,107,kyusyu-s,1969-06-17,1969-07-15,g-enter,1900-06-17
359,1970,106,kyusyu-s,1970-06-10,1970-07-15,g-enter,1900-06-10
360,1971,106,kyusyu-s,1971-05-22,1971-07-25,g-enter,1900-05-22
361,1972,133,kyusyu-s,1972-06-02,1972-07-15,g-enter,1900-06-02
362,1973,81,kyusyu-s,1973-05-26,1973-07-05,g-enter,1900-05-26
363,1974,63,kyusyu-s,1974-05-14,1974-07-18,g-enter,1900-05-14
364,1975,93,kyusyu-s,1975-06-04,1975-07-14,g-enter,1900-06-04
365,1976,114,kyusyu-s,1976-05-19,1976-07-16,g-enter,1900-05-19
366,1977,83,kyusyu-s,1977-05-26,1977-07-04,g-enter,1900-05-26
367,1978,70,kyusyu-s,1978-06-03,1978-07-03,g-enter,1900-06-03
368,1979,110,kyusyu-s,1979-06-06,1979-07-22,g-enter,1900-06-06
369,1980,100,kyusyu-s,1980-05-30,1980-07-18,g-enter,1900-05-30
370,1981,44,kyusyu-s,1981-05-27,1981-07-11,g-enter,1900-05-27
371,1982,94,kyusyu-s,1982-05-29,1982-07-27,g-enter,1900-05-29
372,1983,96,kyusyu-s,1983-06-03,1983-07-21,g-enter,1900-06-03
373,1984,84,kyusyu-s,1984-05-31,1984-07-03,g-enter,1900-05-31
374,1985,90,kyusyu-s,1985-05-29,1985-07-06,g-enter,1900-05-29
375,1986,67,kyusyu-s,1986-06-05,1986-07-19,g-enter,1900-06-05
376,1987,88,kyusyu-s,1987-06-02,1987-07-25,g-enter,1900-06-02
377,1988,98,kyusyu-s,1988-06-01,1988-07-05,g-enter,1900-06-01
378,1989,103,kyusyu-s,1989-06-05,1989-07-14,g-enter,1900-06-05
379,1990,86,kyusyu-s,1990-05-30,1990-07-07,g-enter,1900-05-30
380,1991,89,kyusyu-s,1991-05-19,1991-07-09,g-enter,1900-05-19
381,1992,110,kyusyu-s,1992-06-05,1992-07-20,g-enter,1900-06-05
382,1993,216,kyusyu-s,1993-05-17,,g-enter,1900-05-17
383,1994,73,kyusyu-s,1994-05-25,1994-07-01,g-enter,1900-05-25
384,1995,126,kyusyu-s,1995-05-25,1995-07-07,g-enter,1900-05-25
385,1996,105,kyusyu-s,1996-05-27,1996-07-13,g-enter,1900-05-27
386,1997,84,kyusyu-s,1997-06-02,1997-07-20,g-enter,1900-06-02
387,1998,110,kyusyu-s,1998-05-28,1998-07-01,g-enter,1900-05-28
388,1999,131,kyusyu-s,1999-06-02,1999-07-23,g-enter,1900-06-02
389,2000,118,kyusyu-s,2000-05-26,2000-07-15,g-enter,1900-05-26
390,2001,83,kyusyu-s,2001-05-21,2001-07-20,g-enter,1900-05-21
391,2002,113,kyusyu-s,2002-06-10,2002-07-21,g-enter,1900-06-10
392,2003,104,kyusyu-s,2003-06-09,2003-07-22,g-enter,1900-06-09
393,2004,51,kyusyu-s,2004-05-29,2004-07-11,g-enter,1900-05-29
394,2005,77,kyusyu-s,2005-06-11,2005-07-15,g-enter,1900-06-11
395,2006,116,kyusyu-s,2006-05-26,2006-07-25,g-enter,1900-05-26
396,2007,139,kyusyu-s,2007-06-01,2007-07-18,g-enter,1900-06-01
397,2008,92,kyusyu-s,2008-05-28,2008-07-06,g-enter,1900-05-28
398,2009,51,kyusyu-s,2009-06-02,2009-07-12,g-enter,1900-06-02
399,2010,163,kyusyu-s,2010-06-12,2010-07-20,g-enter,1900-06-12
400,2011,135,kyusyu-s,2011-05-23,2011-07-08,g-enter,1900-05-23
401,2012,168,kyusyu-s,2012-05-30,2012-07-23,g-enter,1900-05-30
402,2013,77,kyusyu-s,2013-05-27,2013-07-08,g-enter,1900-05-27
403,2014,135,kyusyu-s,2014-06-02,2014-07-16,g-enter,1900-06-02
404,2015,209,kyusyu-s,2015-06-02,2015-07-14,g-enter,1900-06-02
405,2016,147,kyusyu-s,2016-05-24,2016-07-18,g-enter,1900-05-24
406,2017,91,kyusyu-s,2017-06-06,2017-07-13,g-enter,1900-06-06
407,2018,128,kyusyu-s,2018-06-05,2018-07-09,g-enter,1900-06-05
408,1951,141,okinawa,1951-05-14,1951-06-18,g-enter,1900-05-14
409,1952,140,okinawa,1952-05-11,1952-06-24,g-enter,1900-05-11
410,1953,136,okinawa,1953-05-11,1953-06-14,g-enter,1900-05-11
411,1954,110,okinawa,1954-05-07,1954-07-01,g-enter,1900-05-07
412,1955,104,okinawa,1955-05-06,1955-06-17,g-enter,1900-05-06
413,1956,158,okinawa,1956-04-28,1956-06-16,g-enter,1900-04-28
414,1957,198,okinawa,1957-05-12,1957-06-19,g-enter,1900-05-12
415,1958,86,okinawa,1958-05-03,1958-06-25,g-enter,1900-05-03
416,1959,101,okinawa,1959-05-16,1959-06-30,g-enter,1900-05-16
417,1960,92,okinawa,1960-05-15,1960-06-20,g-enter,1900-05-15
418,1961,84,okinawa,1961-05-07,1961-06-16,g-enter,1900-05-07
419,1962,94,okinawa,1962-05-03,1962-07-02,g-enter,1900-05-03
420,1963,46,okinawa,1963-06-04,1963-06-15,g-enter,1900-06-04
421,1964,134,okinawa,1964-05-05,1964-06-25,g-enter,1900-05-05
422,1965,187,okinawa,1965-05-06,1965-06-29,g-enter,1900-05-06
423,1966,187,okinawa,1966-05-11,1966-06-14,g-enter,1900-05-11
424,1967,122,okinawa,1967-05-20,1967-06-19,g-enter,1900-05-20
425,1968,78,okinawa,1968-05-20,1968-06-25,g-enter,1900-05-20
426,1969,157,okinawa,1969-05-08,1969-06-29,g-enter,1900-05-08
427,1970,114,okinawa,1970-05-13,1970-06-18,g-enter,1900-05-13
428,1971,38,okinawa,1971-05-20,1971-06-10,g-enter,1900-05-20
429,1972,136,okinawa,1972-05-11,1972-06-20,g-enter,1900-05-11
430,1973,87,okinawa,1973-05-09,1973-06-18,g-enter,1900-05-09
431,1974,138,okinawa,1974-05-05,1974-06-30,g-enter,1900-05-05
432,1975,130,okinawa,1975-05-08,1975-07-06,g-enter,1900-05-08
433,1976,86,okinawa,1976-05-26,1976-07-09,g-enter,1900-05-26
434,1977,93,okinawa,1977-05-09,1977-06-28,g-enter,1900-05-09
435,1978,111,okinawa,1978-05-10,1978-06-15,g-enter,1900-05-10
436,1979,131,okinawa,1979-05-10,1979-06-19,g-enter,1900-05-10
437,1980,63,okinawa,1980-04-20,1980-06-10,g-enter,1900-04-20
438,1981,75,okinawa,1981-05-06,1981-06-17,g-enter,1900-05-06
439,1982,102,okinawa,1982-05-07,1982-07-06,g-enter,1900-05-07
440,1983,94,okinawa,1983-05-09,1983-06-20,g-enter,1900-05-09
441,1984,73,okinawa,1984-05-14,1984-06-18,g-enter,1900-05-14
442,1985,77,okinawa,1985-05-15,1985-06-21,g-enter,1900-05-15
443,1986,71,okinawa,1986-05-07,1986-06-21,g-enter,1900-05-07
444,1987,141,okinawa,1987-05-13,1987-06-26,g-enter,1900-05-13
445,1988,119,okinawa,1988-05-10,1988-06-28,g-enter,1900-05-10
446,1989,114,okinawa,1989-05-09,1989-06-24,g-enter,1900-05-09
447,1990,135,okinawa,1990-05-09,1990-06-19,g-enter,1900-05-09
448,1991,43,okinawa,1991-05-06,1991-06-26,g-enter,1900-05-06
449,1992,119,okinawa,1992-05-08,1992-06-26,g-enter,1900-05-08
450,1993,63,okinawa,1993-05-03,1993-06-25,g-enter,1900-05-03
451,1994,105,okinawa,1994-05-03,1994-06-23,g-enter,1900-05-03
452,1995,119,okinawa,1995-05-04,1995-07-01,g-enter,1900-05-04
453,1996,110,okinawa,1996-04-29,1996-06-10,g-enter,1900-04-29
454,1997,90,okinawa,1997-05-01,1997-06-20,g-enter,1900-05-01
455,1998,178,okinawa,1998-04-25,1998-06-18,g-enter,1900-04-25
456,1999,75,okinawa,1999-05-09,1999-06-23,g-enter,1900-05-09
457,2000,57,okinawa,2000-05-17,2000-06-20,g-enter,1900-05-17
458,2001,142,okinawa,2001-05-06,2001-06-21,g-enter,1900-05-06
459,2002,61,okinawa,2002-05-11,2002-06-21,g-enter,1900-05-11
460,2003,74,okinawa,2003-05-15,2003-06-20,g-enter,1900-05-15
461,2004,93,okinawa,2004-05-05,2004-06-23,g-enter,1900-05-05
462,2005,167,okinawa,2005-05-02,2005-06-27,g-enter,1900-05-02
463,2006,133,okinawa,2006-05-14,2006-06-20,g-enter,1900-05-14
464,2007,103,okinawa,2007-05-16,2007-06-21,g-enter,1900-05-16
465,2008,81,okinawa,2008-05-22,2008-06-17,g-enter,1900-05-22
466,2009,92,okinawa,2009-05-18,2009-07-06,g-enter,1900-05-18
467,2010,95,okinawa,2010-05-06,2010-06-19,g-enter,1900-05-06
468,2011,138,okinawa,2011-04-30,2011-06-09,g-enter,1900-04-30
469,2012,115,okinawa,2012-05-13,2012-06-23,g-enter,1900-05-13
470,2013,93,okinawa,2013-05-10,2013-06-11,g-enter,1900-05-10
471,2014,126,okinawa,2014-05-05,2014-06-26,g-enter,1900-05-05
472,2015,73,okinawa,2015-05-20,2015-06-08,g-enter,1900-05-20
473,2016,84,okinawa,2016-05-16,2016-06-16,g-enter,1900-05-16
474,2017,105,okinawa,2017-05-13,2017-06-22,g-enter,1900-05-13
475,2018,71,okinawa,2018-06-01,2018-06-23,g-enter,1900-06-01
476,1951,137,sikoku,1951-05-26,1951-07-22,g-enter,1900-05-26
477,1952,143,sikoku,1952-06-08,1952-07-21,g-enter,1900-06-08
478,1953,148,sikoku,1953-05-28,1953-07-23,g-enter,1900-05-28
479,1954,204,sikoku,1954-06-05,1954-08-02,g-enter,1900-06-05
480,1955,105,sikoku,1955-05-28,1955-07-10,g-enter,1900-05-28
481,1956,73,sikoku,1956-05-22,1956-07-10,g-enter,1900-05-22
482,1957,103,sikoku,1957-06-05,1957-07-29,g-enter,1900-06-05
483,1958,65,sikoku,1958-06-06,1958-07-10,g-enter,1900-06-06
484,1959,71,sikoku,1959-06-05,1959-07-20,g-enter,1900-06-05
485,1960,86,sikoku,1960-06-10,1960-07-09,g-enter,1900-06-10
486,1961,108,sikoku,1961-06-08,1961-07-07,g-enter,1900-06-08
487,1962,136,sikoku,1962-06-02,1962-07-19,g-enter,1900-06-02
488,1963,103,sikoku,,1963-07-13,g-enter,
489,1964,77,sikoku,1964-06-11,1964-07-01,g-enter,1900-06-11
490,1965,111,sikoku,1965-06-11,1965-07-24,g-enter,1900-06-11
491,1966,114,sikoku,1966-05-31,1966-07-13,g-enter,1900-05-31
492,1967,81,sikoku,1967-06-21,1967-07-13,g-enter,1900-06-21
493,1968,103,sikoku,1968-06-12,1968-07-17,g-enter,1900-06-12
494,1969,127,sikoku,1969-06-17,1969-07-14,g-enter,1900-06-17
495,1970,123,sikoku,1970-06-10,1970-07-14,g-enter,1900-06-10
496,1971,93,sikoku,1971-06-03,1971-07-27,g-enter,1900-06-03
497,1972,146,sikoku,1972-06-03,1972-07-18,g-enter,1900-06-03
498,1973,62,sikoku,1973-06-05,1973-07-03,g-enter,1900-06-05
499,1974,119,sikoku,1974-06-10,1974-07-19,g-enter,1900-06-10
500,1975,96,sikoku,1975-06-04,1975-07-15,g-enter,1900-06-04
501,1976,91,sikoku,1976-05-19,1976-07-22,g-enter,1900-05-19
502,1977,88,sikoku,1977-06-07,1977-07-12,g-enter,1900-06-07
503,1978,80,sikoku,1978-06-11,1978-07-03,g-enter,1900-06-11
504,1979,105,sikoku,1979-06-06,1979-07-22,g-enter,1900-06-06
505,1980,114,sikoku,1980-05-30,1980-07-19,g-enter,1900-05-30
506,1981,86,sikoku,1981-06-10,1981-07-16,g-enter,1900-06-10
507,1982,120,sikoku,1982-05-29,1982-07-27,g-enter,1900-05-29
508,1983,76,sikoku,1983-06-12,1983-07-24,g-enter,1900-06-12
509,1984,108,sikoku,1984-06-08,1984-07-14,g-enter,1900-06-08
510,1985,101,sikoku,1985-06-07,1985-07-07,g-enter,1900-06-07
511,1986,73,sikoku,1986-06-06,1986-07-18,g-enter,1900-06-06
512,1987,114,sikoku,1987-06-08,1987-07-25,g-enter,1900-06-08
513,1988,146,sikoku,1988-06-01,1988-07-31,g-enter,1900-06-01
514,1989,91,sikoku,1989-06-08,1989-07-18,g-enter,1900-06-08
515,1990,82,sikoku,1990-05-31,1990-07-17,g-enter,1900-05-31
516,1991,106,sikoku,1991-05-19,1991-07-19,g-enter,1900-05-19
517,1992,68,sikoku,1992-06-07,1992-07-21,g-enter,1900-06-07
518,1993,194,sikoku,1993-05-29,,g-enter,1900-05-29
519,1994,61,sikoku,1994-06-07,1994-07-02,g-enter,1900-06-07
520,1995,105,sikoku,1995-06-08,1995-07-08,g-enter,1900-06-08
521,1996,94,sikoku,1996-06-07,1996-07-11,g-enter,1900-06-07
522,1997,99,sikoku,1997-06-02,1997-07-18,g-enter,1900-06-02
523,1998,117,sikoku,1998-06-02,1998-07-03,g-enter,1900-06-02
524,1999,136,sikoku,1999-06-02,1999-07-22,g-enter,1900-06-02
525,2000,74,sikoku,2000-06-03,2000-07-18,g-enter,1900-06-03
526,2001,89,sikoku,2001-05-21,2001-07-19,g-enter,1900-05-21
527,2002,79,sikoku,2002-06-11,2002-07-20,g-enter,1900-06-11
528,2003,96,sikoku,2003-06-10,2003-07-31,g-enter,1900-06-10
529,2004,79,sikoku,2004-05-29,2004-07-13,g-enter,1900-05-29
530,2005,76,sikoku,2005-06-11,2005-07-16,g-enter,1900-06-11
531,2006,119,sikoku,2006-06-08,2006-07-26,g-enter,1900-06-08
532,2007,128,sikoku,2007-06-13,2007-07-23,g-enter,1900-06-13
533,2008,73,sikoku,2008-05-28,2008-07-06,g-enter,1900-05-28
534,2009,88,sikoku,2009-06-03,2009-07-30,g-enter,1900-06-03
535,2010,123,sikoku,2010-06-13,2010-07-17,g-enter,1900-06-13
536,2011,146,sikoku,2011-05-21,2011-07-08,g-enter,1900-05-21
537,2012,141,sikoku,2012-06-02,2012-07-17,g-enter,1900-06-02
538,2013,89,sikoku,2013-05-27,2013-07-08,g-enter,1900-05-27
539,2014,89,sikoku,2014-06-02,2014-07-20,g-enter,1900-06-02
540,2015,142,sikoku,2015-06-02,2015-07-24,g-enter,1900-06-02
541,2016,132,sikoku,2016-06-04,2016-07-18,g-enter,1900-06-04
542,2017,81,sikoku,2017-06-20,2017-07-13,g-enter,1900-06-20
543,2018,156,sikoku,2018-06-05,2018-07-09,g-enter,1900-06-05
544,1951,93,tohoku-n,1951-06-10,1951-07-23,g-enter,1900-06-10
545,1952,94,tohoku-n,1952-06-30,1952-07-20,g-enter,1900-06-30
546,1953,101,tohoku-n,1953-06-05,1953-07-28,g-enter,1900-06-05
547,1954,106,tohoku-n,1954-06-11,1954-08-01,g-enter,1900-06-11
548,1955,104,tohoku-n,1955-06-15,1955-07-09,g-enter,1900-06-15
549,1956,119,tohoku-n,1956-06-20,1956-07-25,g-enter,1900-06-20
550,1957,88,tohoku-n,1957-06-18,1957-08-10,g-enter,1900-06-18
551,1958,114,tohoku-n,1958-06-11,1958-08-01,g-enter,1900-06-11
552,1959,121,tohoku-n,1959-06-07,1959-07-25,g-enter,1900-06-07
553,1960,75,tohoku-n,1960-06-27,1960-07-18,g-enter,1900-06-27
554,1961,118,tohoku-n,1961-06-24,1961-07-28,g-enter,1900-06-24
555,1962,59,tohoku-n,1962-06-03,1962-07-25,g-enter,1900-06-03
556,1963,109,tohoku-n,1963-06-19,1963-07-27,g-enter,1900-06-19
557,1964,99,tohoku-n,1964-06-08,1964-07-25,g-enter,1900-06-08
558,1965,113,tohoku-n,1965-06-18,1965-08-06,g-enter,1900-06-18
559,1966,169,tohoku-n,1966-06-16,1966-08-07,g-enter,1900-06-16
560,1967,78,tohoku-n,1967-07-03,1967-07-18,g-enter,1900-07-03
561,1968,64,tohoku-n,1968-06-20,1968-07-23,g-enter,1900-06-20
562,1969,82,tohoku-n,1969-06-22,1969-07-14,g-enter,1900-06-22
563,1970,62,tohoku-n,1970-06-18,1970-07-20,g-enter,1900-06-18
564,1971,104,tohoku-n,1971-06-11,1971-07-30,g-enter,1900-06-11
565,1972,101,tohoku-n,1972-06-20,1972-08-06,g-enter,1900-06-20
566,1973,31,tohoku-n,1973-06-07,1973-07-13,g-enter,1900-06-07
567,1974,130,tohoku-n,1974-06-06,1974-08-03,g-enter,1900-06-06
568,1975,106,tohoku-n,1975-06-12,1975-07-19,g-enter,1900-06-12
569,1976,55,tohoku-n,1976-06-08,1976-07-23,g-enter,1900-06-08
570,1977,75,tohoku-n,1977-06-11,1977-07-22,g-enter,1900-06-11
571,1978,79,tohoku-n,1978-06-11,1978-07-08,g-enter,1900-06-11
572,1979,119,tohoku-n,1979-06-08,1979-08-08,g-enter,1900-06-08
573,1980,106,tohoku-n,1980-06-09,1980-08-03,g-enter,1900-06-09
574,1981,129,tohoku-n,1981-06-11,1981-07-17,g-enter,1900-06-11
575,1982,64,tohoku-n,1982-06-24,1982-08-07,g-enter,1900-06-24
576,1983,126,tohoku-n,1983-06-13,1983-07-29,g-enter,1900-06-13
577,1984,92,tohoku-n,1984-06-10,1984-07-22,g-enter,1900-06-10
578,1985,92,tohoku-n,1985-06-08,1985-07-19,g-enter,1900-06-08
579,1986,97,tohoku-n,1986-06-17,1986-07-28,g-enter,1900-06-17
580,1987,106,tohoku-n,1987-06-27,1987-08-09,g-enter,1900-06-27
581,1988,84,tohoku-n,1988-06-09,1988-07-31,g-enter,1900-06-09
582,1989,48,tohoku-n,1989-06-15,1989-07-21,g-enter,1900-06-15
583,1990,120,tohoku-n,1990-06-15,1990-07-27,g-enter,1900-06-15
584,1991,137,tohoku-n,1991-06-10,1991-08-14,g-enter,1900-06-10
585,1992,73,tohoku-n,1992-06-08,1992-07-29,g-enter,1900-06-08
586,1993,136,tohoku-n,1993-06-03,,g-enter,1900-06-03
587,1994,58,tohoku-n,1994-06-19,1994-07-13,g-enter,1900-06-19
588,1995,70,tohoku-n,1995-06-14,1995-07-23,g-enter,1900-06-14
589,1996,107,tohoku-n,1996-06-11,1996-08-06,g-enter,1900-06-11
590,1997,76,tohoku-n,1997-06-02,1997-07-17,g-enter,1900-06-02
591,1998,114,tohoku-n,1998-06-03,,g-enter,1900-06-03
592,1999,116,tohoku-n,1999-06-16,1999-07-26,g-enter,1900-06-16
593,2000,103,tohoku-n,2000-06-23,2000-07-27,g-enter,1900-06-23
